target,surrogate,bulk_R2,bulk_coincident_recovery,bulk,coincident count,bin_r2,bin_target/surrogate_ratio,bin_coincident_recovery
BR2-K009,BR2-K011,0.894433326,0.17152427,all,9781,0.894433326,1.050831738,0.17152427
BR2-K009,BR2-K011,0.894433326,0.17152427,all,9781,0.894433326,1.050831738,0.17152427
BR2-K009,BR2-K006,0.889919212,0.316165123,all,18029,0.889919212,1.038768491,0.316165123
BR2-K009,BR2-K006,0.889919212,0.316165123,all,18029,0.889919212,1.038768491,0.316165123
BR2-K009,BR2-K012,0.888685535,0.350028058,all,17075,0.901844318,0.967433746,0.353966707
BR2-K009,BR2-K012,0.888685535,0.350028058,all,17075,0.901844318,0.967433746,0.353966707
BR2-K009,BR2-K014,0.886847917,0.453914141,all,25884,0.886847917,1.006671553,0.453914141
BR2-K009,BR2-K014,0.886847917,0.453914141,all,25884,0.886847917,1.006671553,0.453914141
BR2-K009,BR2-K005,0.871605298,0.416123036,all,23729,0.871605298,0.975055472,0.416123036
BR2-K009,BR2-K005,0.871605298,0.416123036,all,23729,0.871605298,0.975055472,0.416123036
BR2-K009,BR2-K002,0.853828166,0.297664141,all,16974,0.853828166,1.030387247,0.297664141
BR2-K009,BR2-K002,0.853828166,0.297664141,all,16974,0.853828166,1.030387247,0.297664141
BR2-K009,BR2-K004,0.851157389,0.305538019,all,17423,0.851157389,0.980842302,0.305538019
BR2-K009,BR2-K004,0.851157389,0.305538019,all,17423,0.851157389,0.980842302,0.305538019
BR2-K009,BR2-K003,0.84735542,0.326722082,all,14543,0.853511768,0.978645177,0.332221588
BR2-K009,BR2-K003,0.84735542,0.326722082,all,14543,0.853511768,0.978645177,0.332221588
BR2-K009,BR2-K013,0.841755917,0.357410915,all,20381,0.841755917,1.005356663,0.357410915
BR2-K009,BR2-K013,0.841755917,0.357410915,all,20381,0.841755917,1.005356663,0.357410915
BR2-K010,BR2-K011,0.855653869,0.120861392,all,6244,0.883727569,0.998408359,0.129438836
BR2-K010,BR2-K011,0.855653869,0.120861392,all,6244,0.883727569,0.998408359,0.129438836
BR2-K010,BR2-K009,0.837261155,0.276094276,all,13477,0.922976281,1.012468338,0.279379755
BR2-K010,BR2-K009,0.837261155,0.276094276,all,13477,0.922976281,1.012468338,0.279379755
BR2-K010,BR2-K015,0.825195374,0.357060185,all,17255,0.902788121,0.936320883,0.357698128
BR2-K010,BR2-K015,0.825195374,0.357060185,all,17255,0.902788121,0.936320883,0.357698128
BR2-K010,BR2-K014,0.804909003,0.387784091,all,18782,0.871895653,0.981748986,0.389353013
BR2-K010,BR2-K014,0.804909003,0.387784091,all,18782,0.871895653,0.981748986,0.389353013
BR2-K010,BR2-K003,0.802870325,0.365898569,all,16076,0.82811521,0.998310842,0.367241576
BR2-K010,BR2-K003,0.802870325,0.365898569,all,16076,0.82811521,0.998310842,0.367241576
BR2-K010,BR2-K002,0.7963581,0.339190516,all,16663,0.837319176,1.029398349,0.3454259
BR2-K010,BR2-K002,0.7963581,0.339190516,all,16663,0.837319176,1.029398349,0.3454259
BR2-K010,BR2-K012,0.793713501,0.359620511,all,14631,0.89473803,0.988504132,0.370836924
BR2-K010,BR2-K012,0.793713501,0.359620511,all,14631,0.89473803,0.988504132,0.370836924
BR2-K010,BR2-K005,0.786116875,0.375561167,all,18388,0.861740832,1.004914724,0.381185348
BR2-K010,BR2-K005,0.786116875,0.375561167,all,18388,0.861740832,1.004914724,0.381185348
BR2-K010,BR2-K006,0.773918662,0.395079265,all,19207,0.854288506,1.032613245,0.398163312
BR2-K010,BR2-K006,0.773918662,0.395079265,all,19207,0.854288506,1.032613245,0.398163312
BR2-K010,BR2-K004,0.770619447,0.347169613,all,16918,0.825420371,0.984257684,0.350712079
BR2-K010,BR2-K004,0.770619447,0.347169613,all,16918,0.825420371,0.984257684,0.350712079
BR2-K011,BR2-K009,0.894433326,0.17152427,all,9781,0.894433326,0.951627139,0.17152427
BR2-K011,BR2-K009,0.894433326,0.17152427,all,9781,0.894433326,0.951627139,0.17152427
BR2-K011,BR2-K006,0.889379971,0.124421296,all,7095,0.889379971,1.009385507,0.124421296
BR2-K011,BR2-K006,0.889379971,0.124421296,all,7095,0.889379971,1.009385507,0.124421296
BR2-K011,BR2-K015,0.879424456,0.38047138,all,21696,0.879424456,0.926204243,0.38047138
BR2-K011,BR2-K015,0.879424456,0.38047138,all,21696,0.879424456,0.926204243,0.38047138
BR2-K011,BR2-K014,0.867259959,0.159266274,all,9082,0.867259959,0.931572293,0.159266274
BR2-K011,BR2-K014,0.867259959,0.159266274,all,9082,0.867259959,0.931572293,0.159266274
BR2-K011,BR2-K010,0.855653869,0.120861392,all,6244,0.883727569,1.001594179,0.129438836
BR2-K011,BR2-K010,0.855653869,0.120861392,all,6244,0.883727569,1.001594179,0.129438836
BR2-K011,BR2-K012,0.83814985,0.261363636,all,12074,0.845454042,0.921773655,0.250295404
BR2-K011,BR2-K012,0.83814985,0.261363636,all,12074,0.845454042,0.921773655,0.250295404
BR2-K011,BR2-K007,0.821782248,0.270868406,all,15446,0.821782248,0.941904134,0.270868406
BR2-K011,BR2-K007,0.821782248,0.270868406,all,15446,0.821782248,0.941904134,0.270868406
BR2-K011,BR2-K013,0.814194591,0.224186308,all,12784,0.814194591,0.956970153,0.224186308
BR2-K011,BR2-K013,0.814194591,0.224186308,all,12784,0.814194591,0.956970153,0.224186308
BR2-K011,BR2-K005,0.807031489,0.250438412,all,14281,0.807031489,0.933975239,0.250438412
BR2-K011,BR2-K005,0.807031489,0.250438412,all,14281,0.807031489,0.933975239,0.250438412
BR2-K011,BR2-K002,0.791342618,0.354570006,all,20219,0.791342618,0.974178209,0.354570006
BR2-K011,BR2-K002,0.791342618,0.354570006,all,20219,0.791342618,0.974178209,0.354570006
BR2-K012,BR2-K015,0.889373517,0.559150533,all,27430,0.897008044,0.978490947,0.568627045
